game_id,team_id_home,team_city_home,pts_paint_home,times_tied,total_turnovers_home,team_id_away,team_city_away,pts_paint_away,total_turnovers_away
21600740,1610612760,Oklahoma City,44,6,9,1610612741,Chicago,50,9
21600738,1610612762,Utah,46,5,16,1610612749,Milwaukee,40,17
21600737,1610612763,Memphis,44,1,8,1610612743,Denver,44,17
21600739,1610612756,Phoenix,46,0,12,1610612746,LA,48,10
21600744,1610612759,San Antonio,46,4,19,1610612755,Philadelphia,34,22
21600742,1610612747,Los Angeles,42,4,20,1610612764,Washington,48,12
21600745,1610612744,Golden State,58,0,12,1610612746,LA,50,15
21600747,1610612751,Brooklyn,36,1,19,1610612754,Indiana,46,17
21600748,1610612765,Detroit,36,8,11,1610612750,Minnesota,60,13
21600746,1610612761,Toronto,46,7,13,1610612753,Orlando,42,11
21600751,1610612747,Los Angeles,32,1,12,1610612738,Boston,38,16
21600753,1610612756,Phoenix,20,15,12,1610612758,Sacramento,36,13
21600752,1610612743,Denver,52,8,15,1610612749,Milwaukee,62,18
21600754,1610612757,Portland,40,1,9,1610612742,Dallas,20,7
21600762,1610612743,Denver,52,2,22,1610612759,San Antonio,48,14
21600763,1610612763,Memphis,36,2,10,1610612750,Minnesota,36,13
21600756,1610612753,Orlando,28,0,14,1610612737,Atlanta,44,17
21600759,1610612752,New York,40,2,11,1610612739,Cleveland,40,17
21600760,1610612766,Charlotte,32,7,10,1610612762,Utah,36,14
21600757,1610612754,Indiana,46,11,6,1610612765,Detroit,32,21
21600764,1610612758,Sacramento,56,9,19,1610612744,Golden State,34,18
21600767,1610612757,Portland,42,15,13,1610612760,Oklahoma City,54,12
21600765,1610612751,Brooklyn,38,7,22,1610612761,Toronto,58,12
21600766,1610612738,Boston,36,0,11,1610612746,LA,26,13
21600769,1610612764,Washington,54,15,12,1610612739,Cleveland,54,20
21600778,1610612741,Chicago,44,2,8,1610612758,Sacramento,48,17
21600771,1610612746,LA,40,5,9,1610612761,Toronto,44,11
21600768,1610612747,Los Angeles,64,1,8,1610612752,New York,38,16
21600773,1610612755,Philadelphia,50,4,13,1610612765,Detroit,66,13
21600770,1610612754,Indiana,34,1,10,1610612760,Oklahoma City,44,16
21600776,1610612743,Denver,50,1,15,1610612742,Dallas,36,11
21600777,1610612759,San Antonio,32,6,17,1610612763,Memphis,46,13
21600772,1610612762,Utah,58,0,12,1610612737,Atlanta,44,12
